CMDLINE c:\users\avinash\appdata\local\programs\python\python36\python.exe minor_new.py
MEM 1.574219 1624563798.0462
MEM 13.425781 1624563798.1610
MEM 17.781250 1624563798.2707
MEM 21.105469 1624563798.3809
MEM 24.820312 1624563798.4907
MEM 29.730469 1624563798.6023
MEM 35.777344 1624563798.7120
MEM 41.238281 1624563798.8217
MEM 50.132812 1624563798.9334
MEM 57.382812 1624563799.0432
MEM 65.335938 1624563799.1539
MEM 103.218750 1624563799.2662
MEM 109.316406 1624563799.3733
MEM 109.093750 1624563799.4827
MEM 112.953125 1624563799.5934
MEM 110.191406 1624563799.7043
MEM 110.207031 1624563799.8142
MEM 113.417969 1624563799.9249
MEM 112.074219 1624563800.0356
MEM 110.210938 1624563800.1464
MEM 112.851562 1624563800.2570
MEM 111.242188 1624563800.3680
MEM 110.210938 1624563800.4779
MEM 112.359375 1624563800.5892
MEM 110.742188 1624563800.6993
MEM 112.039062 1624563800.8090
MEM 110.214844 1624563800.9196
MEM 110.410156 1624563801.0284
MEM 111.933594 1624563801.1380
MEM 113.550781 1624563801.2487
MEM 116.019531 1624563801.3578
MEM 111.839844 1624563801.4692
MEM 114.152344 1624563801.5805
MEM 112.285156 1624563801.6923
MEM 112.285156 1624563801.8030
MEM 112.285156 1624563801.9137
MEM 112.285156 1624563802.0244
MEM 112.796875 1624563802.1361
MEM 113.253906 1624563802.2459
MEM 112.285156 1624563802.3565
MEM 115.406250 1624563802.4670
MEM 112.289062 1624563802.5771
MEM 113.199219 1624563802.6869
MEM 112.726562 1624563802.7976
MEM 112.414062 1624563802.9082
MEM 112.320312 1624563803.0190
MEM 114.933594 1624563803.1297
MEM 112.320312 1624563803.2403
MEM 112.320312 1624563803.3501
MEM 112.320312 1624563803.4602
MEM 112.320312 1624563803.5673
MEM 114.964844 1624563803.6782
MEM 112.687500 1624563803.7876
MEM 116.910156 1624563803.8983
MEM 112.320312 1624563804.0089
MEM 112.320312 1624563804.1176
MEM 112.648438 1624563804.2273
MEM 112.320312 1624563804.3370
MEM 115.050781 1624563804.4474
MEM 112.320312 1624563804.5575
MEM 114.085938 1624563804.6675
MEM 114.085938 1624563804.7793
MEM 112.320312 1624563804.8900
MEM 112.320312 1624563804.9986
MEM 112.320312 1624563805.1083
MEM 112.558594 1624563805.2181
MEM 114.949219 1624563805.3287
MEM 114.015625 1624563805.4405
MEM 112.320312 1624563805.5509
MEM 112.320312 1624563805.6616
MEM 67.558594 1624563805.7712
MEM 67.558594 1624563805.8800
