CMDLINE c:\users\avinash\appdata\local\programs\python\python36\python.exe minor_new.py
MEM 1.546875 1624555441.4633
MEM 14.519531 1624555441.5711
MEM 22.781250 1624555441.6821
MEM 29.316406 1624555441.7927
MEM 35.964844 1624555441.9024
MEM 45.082031 1624555442.0132
MEM 58.089844 1624555442.1228
MEM 75.121094 1624555442.2312
MEM 76.250000 1624555442.3385
MEM 76.304688 1624555442.4498
MEM 76.375000 1624555442.5601
MEM 76.398438 1624555442.6694
MEM 76.417969 1624555442.7793
MEM 76.421875 1624555442.8881
MEM 76.734375 1624555442.9987
MEM 76.742188 1624555443.1062
MEM 76.777344 1624555443.2156
MEM 76.855469 1624555443.3251
MEM 76.867188 1624555443.4348
MEM 76.871094 1624555443.5430
MEM 76.878906 1624555443.6512
MEM 76.902344 1624555443.7605
MEM 76.902344 1624555443.8704
MEM 76.902344 1624555443.9791
MEM 76.933594 1624555444.0885
MEM 76.968750 1624555444.1959
MEM 76.992188 1624555444.3055
MEM 76.996094 1624555444.4152
MEM 77.000000 1624555444.5252
MEM 77.003906 1624555444.6331
MEM 77.312500 1624555444.7429
MEM 77.671875 1624555444.8514
MEM 77.675781 1624555444.9606
MEM 77.675781 1624555445.0723
MEM 77.679688 1624555445.1829
MEM 77.679688 1624555445.2926
MEM 77.679688 1624555445.4016
MEM 77.679688 1624555445.5118
MEM 77.683594 1624555445.6215
MEM 77.699219 1624555445.7323
MEM 77.699219 1624555445.8412
MEM 77.699219 1624555445.9507
MEM 77.699219 1624555446.0599
MEM 77.699219 1624555446.1706
MEM 77.699219 1624555446.2790
MEM 77.699219 1624555446.3893
MEM 77.699219 1624555446.4971
MEM 77.699219 1624555446.6073
MEM 77.699219 1624555446.7161
MEM 77.699219 1624555446.8264
MEM 77.699219 1624555446.9363
MEM 77.699219 1624555447.0455
MEM 77.699219 1624555447.1560
MEM 77.699219 1624555447.2653
MEM 77.699219 1624555447.3739
MEM 77.699219 1624555447.4848
MEM 77.699219 1624555447.5945
MEM 77.699219 1624555447.7039
MEM 77.699219 1624555447.8136
MEM 77.699219 1624555447.9241
MEM 77.699219 1624555448.0348
MEM 77.699219 1624555448.1437
MEM 77.699219 1624555448.2534
MEM 77.699219 1624555448.3638
MEM 77.699219 1624555448.4728
MEM 77.699219 1624555448.5807
MEM 77.699219 1624555448.6906
MEM 77.699219 1624555448.8023
MEM 77.699219 1624555448.9130
MEM 77.699219 1624555449.0228
MEM 77.699219 1624555449.1332
MEM 77.699219 1624555449.2439
MEM 77.699219 1624555449.3538
MEM 77.699219 1624555449.4630
MEM 77.699219 1624555449.5727
MEM 77.699219 1624555449.6815
MEM 77.699219 1624555449.7917
MEM 77.699219 1624555449.9002
MEM 77.699219 1624555450.0105
MEM 77.699219 1624555450.1187
MEM 77.699219 1624555450.2277
MEM 77.699219 1624555450.3381
MEM 77.699219 1624555450.4467
MEM 77.699219 1624555450.5545
MEM 77.699219 1624555450.6627
MEM 77.699219 1624555450.7711
MEM 77.699219 1624555450.8793
MEM 77.699219 1624555450.9873
MEM 77.699219 1624555451.0971
MEM 77.699219 1624555451.2050
MEM 77.699219 1624555451.3126
MEM 77.699219 1624555451.4215
MEM 77.699219 1624555451.5306
MEM 77.699219 1624555451.6408
MEM 77.699219 1624555451.7495
MEM 77.699219 1624555451.8567
MEM 77.699219 1624555451.9687
MEM 77.699219 1624555452.0798
MEM 77.699219 1624555452.1885
MEM 77.699219 1624555452.2974
MEM 77.699219 1624555452.4074
MEM 77.699219 1624555452.5159
MEM 77.699219 1624555452.6270
MEM 77.699219 1624555452.7354
MEM 77.699219 1624555452.8461
MEM 77.699219 1624555452.9566
MEM 77.699219 1624555453.0662
MEM 77.699219 1624555453.1757
MEM 77.699219 1624555453.2852
MEM 77.699219 1624555453.3940
MEM 77.699219 1624555453.5034
